label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
rating-value	rating_value	ratingValue					Rating	Number, Text				"The rating for the content.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
read-by	read_by	readBy	https://bib.schema.org	actor			Audiobook	Person				A person who reads (performs) the audiobook.
readonly-value	readonly_value	readonlyValue					PropertyValueSpecification	Boolean				"Whether or not a property is mutable.  Default is false. Specifying this for a property that also has a value makes it act similar to a ""hidden"" input in an HTML form."
real-estate-agent	real_estate_agent	realEstateAgent		participant			RentAction	RealEstateAgent				A sub property of participant. The real estate agent involved in the action.
recipe	recipe	recipe		instrument			CookAction	Recipe				A sub property of instrument. The recipe/instructions used to perform the action.
recipe-category	recipe_category	recipeCategory					Recipe	Text				The category of the recipe�for example, appetizer, entree, etc.
recipe-cuisine	recipe_cuisine	recipeCuisine					Recipe	Text				The cuisine of the recipe (for example, French or Ethiopian).
recipe-ingredient	recipe_ingredient	recipeIngredient		supply			Recipe	Text		ingredients		A single ingredient used in the recipe, e.g. sugar, flour or garlic.
recipe-instructions	recipe_instructions	recipeInstructions		step			Recipe	CreativeWork, ItemList, Text				A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.
recipe-yield	recipe_yield	recipeYield		yield			Recipe	QuantitativeValue, Text				The quantity produced by the recipe (for example, number of people served, number of servings, etc).
recipient	recipient	recipient		participant		bccRecipient, ccRecipient, toRecipient	AuthorizeAction, CommunicateAction, DonateAction, GiveAction, Message, PayAction, ReturnAction, SendAction, TipAction	Audience, ContactPoint, Organization, Person				A sub property of participant. The participant who is at the receiving end of the action.
recognized-by	recognized_by	recognizedBy	pending:				EducationalOccupationalCredential	Organization				An organization that acknowledges the validity, value or utility of a credential. Note: recognition may include a process of quality assurance or accreditation.
recognizing-authority	recognizing_authority	recognizingAuthority					MedicalEntity	Organization				If applicable, the organization that officially recognizes this entity as part of its endorsed system of medicine.
recommendation-strength	recommendation_strength	recommendationStrength					MedicalGuidelineRecommendation	Text				Strength of the guideline's recommendation (e.g. 'class I').
recommended-intake	recommended_intake	recommendedIntake					DietarySupplement	RecommendedDoseSchedule				Recommended intake of this supplement for a given population as defined by a specific recommending authority.
record-label	record_label	recordLabel			http://purl.org/ontology/mo/label		MusicRelease	Organization				The label that issued the release.
recorded-as	recorded_as	recordedAs					MusicComposition	MusicRecording	recordingOf			An audio recording of the work.
recorded-at	recorded_at	recordedAt					CreativeWork	Event	recordedIn			The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.
recorded-in	recorded_in	recordedIn					Event	CreativeWork	recordedAt			The CreativeWork that captured all or part of this Event.
recording-of	recording_of	recordingOf					MusicRecording	MusicComposition	recordedAs			The composition this track is a recording of.
recourse-loan	recourse_loan	recourseLoan	pending:				LoanOrCredit	Boolean				The only way you get the money back in the event of default is the security. Recourse is where you still have the opportunity to go back to the borrower for the rest of the money.
reference-quantity	reference_quantity	referenceQuantity					UnitPriceSpecification	QuantitativeValue				The reference quantity for which a certain price applies, e.g. 1 EUR per 4 kWh of electricity. This property is a replacement for unitOfMeasurement for the advanced cases where the price does not relate to a standard unit.
references-order	references_order	referencesOrder					Invoice	Order				The Order(s) related to this Invoice. One or more Orders may be combined into a single Invoice.
refund-type	refund_type	refundType	pending:				MerchantReturnPolicy	RefundTypeEnumeration				A refund type, from an enumerated list.
region-drained	region_drained	regionDrained					LymphaticVessel, Vein	AnatomicalStructure, AnatomicalSystem				"The anatomical or organ system drained by this vessel; generally refers to a specific part of an organ."
regions-allowed	regions_allowed	regionsAllowed					MediaObject	Place				"The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in <a href=""http://en.wikipedia.org/wiki/ISO_3166"">ISO 3166 format</a>."
related-anatomy	related_anatomy	relatedAnatomy					SuperficialAnatomy	AnatomicalStructure, AnatomicalSystem				Anatomical systems or structures that relate to the superficial anatomy.
related-condition	related_condition	relatedCondition					AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	MedicalCondition				A medical condition associated with this anatomy.
related-drug	related_drug	relatedDrug					Drug	Drug				Any other drug related to this one, for example commonly-prescribed alternatives.
related-link	related_link	relatedLink					WebPage	URL				A link related to this web page, for example to other related web pages.
related-structure	related_structure	relatedStructure					AnatomicalSystem	AnatomicalStructure				Related anatomical structure(s) that are not part of the system but relate or connect to it, such as vascular bundles associated with an organ system.
related-therapy	related_therapy	relatedTherapy					AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	MedicalTherapy				A medical therapy related to this anatomy.
related-to	related_to	relatedTo					Person	Person				The most generic familial relation.
release-date	release_date	releaseDate					Product	Date				The release date of a product or product model. This can be used to distinguish the exact variant of a product.
release-notes	release_notes	releaseNotes					SoftwareApplication	Text, URL				Description of what changed in this version.
release-of	release_of	releaseOf					MusicRelease	MusicAlbum	albumRelease			The album this is a release of.
released-event	released_event	releasedEvent					CreativeWork	PublicationEvent				The place and time the release was issued, expressed as a PublicationEvent.
relevant-occupation	relevant_occupation	relevantOccupation					JobPosting	Occupation				The Occupation for the JobPosting.
relevant-specialty	relevant_specialty	relevantSpecialty					MedicalEntity	MedicalSpecialty				If applicable, a medical specialty in which this entity is relevant.
remaining-attendee-capacity	remaining_attendee_capacity	remainingAttendeeCapacity					Event	Integer				The number of attendee places for an event that remain unallocated.
renegotiable-loan	renegotiable_loan	renegotiableLoan	pending:				LoanOrCredit	Boolean				Whether the terms for payment of interest can be renegotiated during the life of the loan.
repeat-count	repeat_count	repeatCount	pending:				Schedule	Integer				"Defines the number of times a recurring <a class=""localLink"" href=""/Event"">Event</a> will take place."
repeat-frequency	repeat_frequency	repeatFrequency	pending:	frequency			Schedule	Duration, Text				"Defines the frequency at which <a class=""localLink"" href=""/Event"">Event</a>s will occur according to a schedule <a class=""localLink"" href=""/Schedule"">Schedule</a>. The intervals between
      events should be defined as a <a class=""localLink"" href=""/Duration"">Duration</a> of time."
repetitions	repetitions	repetitions					ExercisePlan	Number, QuantitativeValue				Number of times one should repeat the activity.
replacee	replacee	replacee		object			ReplaceAction	Thing				A sub property of object. The object that is being replaced.
replacer	replacer	replacer		object			ReplaceAction	Thing				A sub property of object. The object that replaces.
reply-to-url	reply_to_url	replyToUrl					UserComments	URL				The URL at which a reply may be posted to the specified UserComment.
report-number	report_number	reportNumber					Report	Text				The number or other unique designator assigned to a Report by the publishing organization.
representative-of-page	representative_of_page	representativeOfPage					ImageObject	Boolean				Indicates whether this image is representative of the content of the page.
required-collateral	required_collateral	requiredCollateral					LoanOrCredit	Text, Thing				Assets required to secure loan or credit repayments. It may take form of third party pledge, goods, financial instruments (cash, securities, etc.)
required-gender	required_gender	requiredGender					PeopleAudience	Text				Audiences defined by a person's gender.
required-max-age	required_max_age	requiredMaxAge					PeopleAudience	Integer				Audiences defined by a person's maximum age.
required-min-age	required_min_age	requiredMinAge					PeopleAudience	Integer				Audiences defined by a person's minimum age.
required-quantity	required_quantity	requiredQuantity					HowToItem	Number, QuantitativeValue, Text				The required quantity of the item(s).
requirements	requirements	requirements					SoftwareApplication	Text, URL			softwareRequirements	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).
requires-subscription	requires_subscription	requiresSubscription					ActionAccessSpecification, MediaObject	Boolean, MediaSubscription				Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>true</code> or <code>false</code> (note that an earlier version had 'yes', 'no').
reservation-for	reservation_for	reservationFor					Reservation	Thing				The thing -- flight, event, restaurant, etc. being reserved.
reservation-id	reservation_id	reservationId					Reservation	Text				A unique identifier for the reservation.
reservation-status	reservation_status	reservationStatus					Reservation	ReservationStatusType				The current status of the reservation.
reserved-ticket	reserved_ticket	reservedTicket					Reservation	Ticket				A ticket associated with the reservation.
responsibilities	responsibilities	responsibilities					JobPosting, Occupation	Text				Responsibilities associated with this role or Occupation.
rest-periods	rest_periods	restPeriods					ExercisePlan	QuantitativeValue, Text				How often one should break from the activity.
restocking-fee	restocking_fee	restockingFee	pending:				MerchantReturnPolicy	MonetaryAmount, Number				"Use <a class=""localLink"" href=""/MonetaryAmount"">MonetaryAmount</a> to specify a fixed restocking fee for product returns, or use <a class=""localLink"" href=""/Number"">Number</a> to specify a percentage of the product price paid by the customer."
result	result	result				resultComment, resultReview	Action	Thing				The result produced in the action. E.g. John wrote <em>a book</em>.
result-comment	result_comment	resultComment		result			CommentAction, ReplyAction	Comment				A sub property of result. The Comment created or sent as a result of this action.
result-review	result_review	resultReview		result			ReviewAction	Review				A sub property of result. The review that resulted in the performing of the action.
return-fees	return_fees	returnFees	pending:				MerchantReturnPolicy	ReturnFeesEnumeration				The type of return fees for purchased products (for any return reason).
return-label-source	return_label_source	returnLabelSource	pending:				MerchantReturnPolicy	ReturnLabelSourceEnumeration				The method (from an enumeration) by which the customer obtains a return shipping label for a product returned for any reason.
return-method	return_method	returnMethod	pending:				MerchantReturnPolicy	ReturnMethodEnumeration				The type of return method offered, specified from an enumeration.
return-policy-category	return_policy_category	returnPolicyCategory	pending:				MerchantReturnPolicy, MerchantReturnPolicySeasonalOverride	MerchantReturnEnumeration				Specifies an applicable return policy (from an enumeration).
return-policy-country	return_policy_country	returnPolicyCountry	pending:				MerchantReturnPolicy	Country, Text				"The country where the product has to be sent to for returns, for example ""Ireland"" using the <a class=""localLink"" href=""/name"">name</a> property of <a class=""localLink"" href=""/Country"">Country</a>. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>. Note that this can be different from the country where the product was originally shipped from or sent to."
return-policy-seasonal-override	return_policy_seasonal_override	returnPolicySeasonalOverride	pending:				MerchantReturnPolicy	MerchantReturnPolicySeasonalOverride				Seasonal override of a return policy.
return-shipping-fees-amount	return_shipping_fees_amount	returnShippingFeesAmount	pending:				MerchantReturnPolicy	MonetaryAmount				"Amount of shipping costs for product returns (for any reason). Applicable when property <a class=""localLink"" href=""/returnFees"">returnFees</a> equals <a class=""localLink"" href=""/ReturnShippingFees"">ReturnShippingFees</a>."
review	review	review					Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service	Review		reviews		A review of the item.
review-aspect	review_aspect	reviewAspect					Guide, Rating, Review	Text				This Review or Rating is relevant to this part or facet of the itemReviewed.
review-body	review_body	reviewBody					Review	Text				The actual body of the review.
review-count	review_count	reviewCount					AggregateRating	Integer				The count of total number of reviews.
review-rating	review_rating	reviewRating					Review	Rating				"The rating given in this review. Note that reviews can themselves be rated. The <code>reviewRating</code> applies to rating given by the review. The <a class=""localLink"" href=""/aggregateRating"">aggregateRating</a> property applies to the review itself, as a creative work."
reviewed-by	reviewed_by	reviewedBy					WebPage	Organization, Person				People or organizations that have reviewed the content on this web page for accuracy and/or completeness.
reviews	reviews	reviews					CreativeWork, Offer, Organization, Place, Product	Review			review	Review of the item.
risk-factor	risk_factor	riskFactor					MedicalCondition	MedicalRiskFactor				A modifiable or non-modifiable factor that increases the risk of a patient contracting this condition, e.g. age,  coexisting condition.
risks	risks	risks					Diet	Text				Specific physiologic risks associated to the diet plan.
role-name	role_name	roleName					Role	Text, URL		namedPosition		"A role played, performed or filled by a person or organization. For example, the team of creators for a comic book might fill the roles named 'inker', 'penciller', and 'letterer'; or an athlete in a SportsTeam might play in the position named 'Quarterback'."
roof-load	roof_load	roofLoad	https://auto.schema.org				BusOrCoach, Car	QuantitativeValue				"The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a></li>
<li>Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
rsvp-response	rsvp_response	rsvpResponse					RsvpAction	RsvpResponseType				The response (yes, no, maybe) to the RSVP.
runs-to	runs_to	runsTo					LymphaticVessel	Vessel				The vasculature the lymphatic structure runs, or efferents, to.
runtime	runtime	runtime					SoftwareSourceCode	Text			runtimePlatform	Runtime platform or script interpreter dependencies (example: Java v1, Python 2.3, .NET Framework 3.0).
runtime-platform	runtime_platform	runtimePlatform					SoftwareSourceCode	Text		runtime		Runtime platform or script interpreter dependencies (example: Java v1, Python 2.3, .NET Framework 3.0).
rxcui	rxcui	rxcui	pending:				Drug	Text				The RxCUI drug identifier from RXNORM.
safety-consideration	safety_consideration	safetyConsideration					DietarySupplement	Text				Any potential safety concern associated with the supplement. May include interactions with other drugs and foods, pregnancy, breastfeeding, known adverse reactions, and documented efficacy of the supplement.
salary-currency	salary_currency	salaryCurrency					EmployeeRole, JobPosting	Text				"The currency (coded using <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217</a>) used for the main salary information in this job posting or for this employee."
salary-upon-completion	salary_upon_completion	salaryUponCompletion	pending:				EducationalOccupationalProgram	MonetaryAmountDistribution				The expected salary upon completing the training.
same-as	same_as	sameAs					Thing	URL				URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.
sample-type	sample_type	sampleType					SoftwareSourceCode	Text			codeSampleType	What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.
saturated-fat-content	saturated_fat_content	saturatedFatContent					NutritionInformation	Mass				The number of grams of saturated fat.
schedule-timezone	schedule_timezone	scheduleTimezone	pending:				Schedule	Text				"Indicates the timezone for which the time(s) indicated in the <a class=""localLink"" href=""/Schedule"">Schedule</a> are given. The value provided should be among those listed in the IANA Time Zone Database."
scheduled-payment-date	scheduled_payment_date	scheduledPaymentDate					Invoice	Date				The date the invoice is scheduled to be paid.
scheduled-time	scheduled_time	scheduledTime					PlanAction	DateTime				The time the object is scheduled to.
schema-version	schema_version	schemaVersion					CreativeWork	Text, URL				"Indicates (by URL or string) a particular version of a schema used in some CreativeWork. This property was created primarily to
    indicate the use of a specific schema.org release, e.g. <code>10.0</code> as a simple string, or more explicitly via URL, <code>docs/releases.html#v10.0</code>. There may be situations in which other schemas might usefully be referenced this way, e.g. <code>http://dublincore.org/specifications/dublin-core/dces/1999-07-02/</code> but this has not been carefully explored in the community."
school-closures-info	school_closures_info	schoolClosuresInfo	pending:				SpecialAnnouncement	URL, WebContent				Information about school closures.
screen-count	screen_count	screenCount					MovieTheater	Number				The number of screens in the movie theater.
screenshot	screenshot	screenshot					SoftwareApplication	ImageObject, URL				A link to a screenshot image of the app.
sd-date-published	sd_date_published	sdDatePublished	pending:				CreativeWork	Date				"Indicates the date on which the current structured data was generated / published. Typically used alongside <a class=""localLink"" href=""/sdPublisher"">sdPublisher</a>"
sd-license	sd_license	sdLicense	pending:				CreativeWork	CreativeWork, URL				A license document that applies to this structured data, typically indicated by URL.
sd-publisher	sd_publisher	sdPublisher	pending:				CreativeWork	Organization, Person				"Indicates the party responsible for generating and publishing the current structured data markup, typically in cases where the structured data is derived automatically from existing published content but published on a different site. For example, student projects and open data initiatives often re-publish existing content with more explicitly structured metadata. The
<a class=""localLink"" href=""/sdPublisher"">sdPublisher</a> property helps make such practices more explicit."
season	season	season		hasPart			RadioSeries, TVSeries, VideoGameSeries	CreativeWorkSeason, URL		seasons	containsSeason	A season in a media series.
season-number	season_number	seasonNumber		position			CreativeWorkSeason	Integer, Text				Position of the season within an ordered group of seasons.
seasons	seasons	seasons					RadioSeries, TVSeries, VideoGameSeries	CreativeWorkSeason			season	A season in a media series.
seat-number	seat_number	seatNumber					Seat	Text				The location of the reserved seat (e.g., 27).
seat-row	seat_row	seatRow					Seat	Text				The row location of the reserved seat (e.g., B).
seat-section	seat_section	seatSection					Seat	Text				The section location of the reserved seat (e.g. Orchestra).
seating-capacity	seating_capacity	seatingCapacity	https://auto.schema.org				Vehicle	Number, QuantitativeValue				"The number of persons that can be seated (e.g. in a vehicle), both in terms of the physical space available, and in terms of limitations set by law.<br/><br/>

Typical unit code(s): C62 for persons"
seating-type	seating_type	seatingType					Seat	QualitativeValue, Text				The type/class of the seat.
secondary-prevention	secondary_prevention	secondaryPrevention					MedicalCondition	MedicalTherapy				A preventative therapy used to prevent reoccurrence of the medical condition after an initial episode of the condition.
security-clearance-requirement	security_clearance_requirement	securityClearanceRequirement	pending:				JobPosting	Text, URL				A description of any security clearance requirements of the job.
security-screening	security_screening	securityScreening					FlightReservation	Text				The type of security screening the passenger is subject to.
seeks	seeks	seeks					Organization, Person	Demand				A pointer to products or services sought by the organization or person (demand).
seller	seller	seller		participant			BuyAction, Demand, Flight, Offer, Order	Organization, Person		merchant, vendor		An entity which offers (sells / leases / lends / loans) the services / goods.  A seller may also be a provider.
sender	sender	sender		participant			Message, ReceiveAction	Audience, Organization, Person				A sub property of participant. The participant who is at the sending end of the action.
sensory-requirement	sensory_requirement	sensoryRequirement	pending:				JobPosting	DefinedTerm, Text, URL				A description of any sensory requirements and levels necessary to function on the job, including hearing and vision. Defined terms such as those in O*net may be used, but note that there is no way to specify the level of ability as well as its nature when using a defined term.
sensory-unit	sensory_unit	sensoryUnit					Nerve	AnatomicalStructure, SuperficialAnatomy				The neurological pathway extension that inputs and sends information to the brain or spinal cord.
serial-number	serial_number	serialNumber		identifier		vehicleIdentificationNumber	Demand, IndividualProduct, Offer	Text				The serial number or any alphanumeric identifier of a particular product. When attached to an offer, it is a shortcut for the serial number of the product included in the offer.
serious-adverse-outcome	serious_adverse_outcome	seriousAdverseOutcome					MedicalDevice, MedicalTherapy	MedicalEntity				"A possible serious complication and/or serious side effect of this therapy. Serious adverse outcomes include those that are life-threatening; result in death, disability, or permanent damage; require hospitalization or prolong existing hospitalization; cause congenital anomalies or birth defects; or jeopardize the patient and may require medical or surgical intervention to prevent one of the outcomes in this definition."
server-status	server_status	serverStatus					GameServer	GameServerStatus				Status of a game server.
serves-cuisine	serves_cuisine	servesCuisine					FoodEstablishment	Text				The cuisine of the restaurant.
service-area	service_area	serviceArea					ContactPoint, Organization, Service	AdministrativeArea, GeoShape, Place		area	areaServed	The geographic area where the service is provided.
service-audience	service_audience	serviceAudience					Service	Audience			audience	The audience eligible for this service.
service-location	service_location	serviceLocation					ServiceChannel	Place				The location (e.g. civic structure, local business, etc.) where a person can go to access the service.
service-operator	service_operator	serviceOperator					GovernmentService	Organization				The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor.
service-output	service_output	serviceOutput					Service	Thing		produces		The tangible thing generated by the service, e.g. a passport, permit, etc.
service-phone	service_phone	servicePhone					ServiceChannel	ContactPoint				The phone number to use to access the service.
service-postal-address	service_postal_address	servicePostalAddress					ServiceChannel	PostalAddress				The address for accessing the service by mail.
service-sms-number	service_sms_number	serviceSmsNumber					ServiceChannel	ContactPoint				The number to access the service by text message.
service-type	service_type	serviceType					Service	GovernmentBenefitsType, Text				The type of service being offered, e.g. veterans' benefits, emergency relief, etc.
service-url	service_url	serviceUrl					ServiceChannel	URL				The website to access the service.
serving-size	serving_size	servingSize					NutritionInformation	Text				The serving size, in terms of the number of volume or mass.
sha256	sha256	sha256	pending:	description			MediaObject	Text				"The <a href=""https://en.wikipedia.org/wiki/SHA-2"">SHA-2</a> SHA256 hash of the content of the item. For example, a zero-length input has value 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'"
shared-content	shared_content	sharedContent					SocialMediaPosting	CreativeWork				A CreativeWork such as an image, video, or audio clip shared as part of this posting.
shipping-destination	shipping_destination	shippingDestination	pending:				DeliveryTimeSettings, OfferShippingDetails, ShippingRateSettings	DefinedRegion				indicates (possibly multiple) shipping destinations. These can be defined in several ways, e.g. postalCode ranges.
shipping-details	shipping_details	shippingDetails	pending:				Offer	OfferShippingDetails				"Indicates information about the shipping policies and options associated with an <a class=""localLink"" href=""/Offer"">Offer</a>."
shipping-label	shipping_label	shippingLabel	pending:				OfferShippingDetails, ShippingRateSettings	Text				"Label to match an <a class=""localLink"" href=""/OfferShippingDetails"">OfferShippingDetails</a> with a <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a> (within the context of a <a class=""localLink"" href=""/shippingSettingsLink"">shippingSettingsLink</a> cross-reference)."
shipping-origin	shipping_origin	shippingOrigin	pending:				OfferShippingDetails	DefinedRegion				Indicates the origin of a shipment, i.e. where it should be coming from.
shipping-rate	shipping_rate	shippingRate	pending:				OfferShippingDetails, ShippingRateSettings	MonetaryAmount				"The shipping rate is the cost of shipping to the specified destination. Typically, the maxValue and currency values (of the <a class=""localLink"" href=""/MonetaryAmount"">MonetaryAmount</a>) are most appropriate."
shipping-settings-link	shipping_settings_link	shippingSettingsLink	pending:				OfferShippingDetails	URL				"Link to a page containing <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a> and <a class=""localLink"" href=""/DeliveryTimeSettings"">DeliveryTimeSettings</a> details."
sibling	sibling	sibling					Person	Person		siblings		A sibling of the person.
siblings	siblings	siblings					Person	Person			sibling	A sibling of the person.
sign-detected	sign_detected	signDetected					MedicalTest	MedicalSign				A sign detected by the test.
sign-or-symptom	sign_or_symptom	signOrSymptom					MedicalCondition	MedicalSignOrSymptom				A sign or symptom of this condition. Signs are objective or physically observable manifestations of the medical condition while symptoms are the subjective experience of the medical condition.
significance	significance	significance					SuperficialAnatomy	Text				"The significance associated with the superficial anatomy; as an example, how characteristics of the superficial anatomy can suggest underlying medical conditions or courses of treatment."
significant-link	significant_link	significantLink					WebPage	URL		significantLinks		One of the more significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.
significant-links	significant_links	significantLinks					WebPage	URL			significantLink	The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.
size	size	size	pending:				CreativeWork, Product	DefinedTerm, QuantitativeValue, SizeSpecification, Text				"A standardized size of a product or creative work, specified either through a simple textual string (for example 'XL', '32Wx34L'), a  QuantitativeValue with a unitCode, or a comprehensive and structured <a class=""localLink"" href=""/SizeSpecification"">SizeSpecification</a>; in other cases, the <a class=""localLink"" href=""/width"">width</a>, <a class=""localLink"" href=""/height"">height</a>, <a class=""localLink"" href=""/depth"">depth</a> and <a class=""localLink"" href=""/weight"">weight</a> properties may be more applicable."
size-group	size_group	sizeGroup	pending:				SizeSpecification	SizeGroupEnumeration, Text				"The size group (also known as ""size type"") for a product's size. Size groups are common in the fashion industry to define size segments and suggested audiences for wearable products. Multiple values can be combined, for example ""men's big and tall"", ""petite maternity"" or ""regular"""
size-system	size_system	sizeSystem	pending:				SizeSpecification	SizeSystemEnumeration, Text				"The size system used to identify a product's size. Typically either a standard (for example, ""GS1"" or ""ISO-EN13402""), country code (for example ""US"" or ""JP""), or a measuring system (for example ""Metric"" or ""Imperial"")."
skills	skills	skills					JobPosting, Occupation	DefinedTerm, Text				A statement of knowledge, skill, ability, task or any other assertion expressing a competency that is desired or required to fulfill this role or to work in this occupation.
sku	sku	sku		identifier			Demand, Offer, Product	Text				The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
slogan	slogan	slogan					Brand, Organization, Place, Product, Service	Text				A slogan or motto associated with the item.
smiles	smiles	smiles	pending:	hasRepresentation			MolecularEntity	Text				A specification in form of a line notation for describing the structure of chemical species using short ASCII strings.  Double bond stereochemistry \ indicators may need to be escaped in the string in formats where the backslash is an escape character.
smoking-allowed	smoking_allowed	smokingAllowed					Place	Boolean				Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.
sodium-content	sodium_content	sodiumContent					NutritionInformation	Mass				The number of milligrams of sodium.
software-add-on	software_add_on	softwareAddOn					SoftwareApplication	SoftwareApplication				Additional content for a software application.
software-help	software_help	softwareHelp					SoftwareApplication	CreativeWork				Software application help.
software-requirements	software_requirements	softwareRequirements					SoftwareApplication	Text, URL		requirements		Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).
software-version	software_version	softwareVersion					SoftwareApplication	Text				Version of the software instance.
source-organization	source_organization	sourceOrganization					CreativeWork	Organization				The Organization on whose behalf the creator was working.
sourced-from	sourced_from	sourcedFrom					Nerve	BrainStructure				The neurological pathway that originates the neurons.
spatial	spatial	spatial			dc:spatial		CreativeWork	Place				"The ""spatial"" property can be used in cases when more specific properties
(e.g. <a class=""localLink"" href=""/locationCreated"">locationCreated</a>, <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>, <a class=""localLink"" href=""/contentLocation"">contentLocation</a>) are not known to be appropriate."
spatial-coverage	spatial_coverage	spatialCoverage		contentLocation	dc:spatial	announcementLocation, legislationJurisdiction	CreativeWork	Place				"The spatialCoverage of a CreativeWork indicates the place(s) which are the focus of the content. It is a subproperty of
      contentLocation intended primarily for more technical and detailed materials. For example with a Dataset, it indicates
      areas that the dataset describes: a dataset of New York weather would have spatialCoverage which was the place: the state of New York."
speakable	speakable	speakable					Article, WebPage	SpeakableSpecification, URL				"Indicates sections of a Web page that are particularly 'speakable' in the sense of being highlighted as being especially appropriate for text-to-speech conversion. Other sections of a page may also be usefully spoken in particular circumstances; the 'speakable' property serves to indicate the parts most likely to be generally useful for speech.<br/><br/>

The <em>speakable</em> property can be repeated an arbitrary number of times, with three kinds of possible 'content-locator' values:<br/><br/>

1.) <em>id-value</em> URL references - uses <em>id-value</em> of an element in the page being annotated. The simplest use of <em>speakable</em> has (potentially relative) URL values, referencing identified sections of the document concerned.<br/><br/>

2.) CSS Selectors - addresses content in the annotated page, e.g. via class attribute. Use the <a class=""localLink"" href=""/cssSelector"">cssSelector</a> property.<br/><br/>

3.)  XPaths - addresses content via XPaths (assuming an XML view of the content). Use the <a class=""localLink"" href=""/xpath"">xpath</a> property.<br/><br/>

For more sophisticated markup of speakable sections beyond simple ID references, either CSS selectors or XPath expressions to pick out document section(s) as speakable. For this
we define a supporting type, <a class=""localLink"" href=""/SpeakableSpecification"">SpeakableSpecification</a>  which is defined to be a possible value of the <em>speakable</em> property."
special-commitments	special_commitments	specialCommitments					JobPosting	Text				Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.
special-opening-hours-specification	special_opening_hours_specification	specialOpeningHoursSpecification					Place	OpeningHoursSpecification				"The special opening hours of a certain place.<br/><br/>

Use this to explicitly override general opening hours brought in scope by <a class=""localLink"" href=""/openingHoursSpecification"">openingHoursSpecification</a> or <a class=""localLink"" href=""/openingHours"">openingHours</a>."
specialty	specialty	specialty					WebPage	Specialty				One of the domain specialities to which this web page's content applies.
speech-to-text-markup	speech_to_text_markup	speechToTextMarkup	pending:				PronounceableText	Text				"Form of markup used. eg. <a href=""https://www.w3.org/TR/speech-synthesis11"">SSML</a> or <a href=""https://www.wikidata.org/wiki/Property:P898"">IPA</a>."
